sentence_number,sentence_text
908,"No official tender has been announced yet by Tunisia , they said ."
909,"France has sold a total of 200 , 000 tonnes of soft wheat to Tunisia since the begining of the current campaign which was covered by COFACE export credits ."
910,"Of this amount , a total of 150 , 000 tonnes was exported by March 1 , they said ."
911,"COLT INDUSTRIES INC & lt ; COT > 1ST QTR NET Shr 28 cts vs 16 cts Net 9 , 387 , 000 vs 25 , 617 , 000 Revs 410 . 1 mln vs 393 . 5 mln Avg shrs 35 . 4 mln vs 164 . 7 mln NOTE : 1987 net reflects interest expense on debt incurred to finance recapitalization in Oct . 1986 ."
912,Prior year earnings restated to reflect recapitalization plan .
913,YANKEE & lt ; YNK > UNIT NOT TO SELL SUBSIDIARY Yankee Cos Inc said its Eskey Inc & lt ; ESK > subsidiary has decided not to sell its Yale E . Key unit .
914,Further details were not disclosed .
915,MAYFAIR SUPER MARKETS INC & lt ; MYFRA > 2ND QTR FEB 28 Shr 59 cts vs 46 cts Net 2 . 4 mln vs 1 . 9 mln Revs 122 . 5 mln vs 105 . 9 mln Six months Shr 1 . 13 dlrs vs 84 cts Net 4 . 5 mln vs 3 . 4 mln Revs 242 . 5 mln vs 210 . 1 mln NOTE : 1986 share adjusted for 2 - for - 1 stock split .
916,"& lt ; BATON BROADCASTING INC > SIX MTHS FEB 28 NET Shr 33 cts vs 31 cts Net 9 , 219 , 017 vs 8 , 515 , 539 Revs 112 . 0 mln vs 95 . 4 mln"
917,"UNITED CABLE TELEVISION CORP & lt ; UCT > 3RD QTR NET Shr loss 24 cts vs profit seven cts Net loss 5 , 952 , 000 vs profit 2 , 078 , 000 Revs 55 . 9 mln vs 50 . 6 mln Avg shrs 25 . 2 mln vs 24 . 7 mln Nine mths Shr loss 11 cts vs profit 24 cts Net loss 2 , 673 , 000 vs profit 6 , 800 , 000 Revs 162 . 6 mln vs 143 . 9 mln Avg shrs 25 . 0 mln vs 24 . 4 mln NOTE : Current year net both periods includes pretax charge seven mln dlrs from increase in reserve for investments in broadcast television entities and tax credits of 1 , 002 , 000 dlrs in quarter and 520 , 000 dlrs in nine mths ."
918,"CANADA ALLOWS PUBLISHING TAKEOVER BY HARCOURT Investment Canada said it has allowed the indirect takeover of Holt , Rinehart and Winston Canada Ltd ., W . B ."
919,Saunders Co of Canada Ltd and Les Editions HRW Ltd by Harcourt Brace Jovanovich Canada Inc .
920,"The government agency said , however , Harcourt Canada has agreed to sell control of the firms to Canadian interests within two years ."
921,"Harcourt Canada ' s U . S . parent , Harcourt Brace Jovanovich Inc & lt ; HBJ >, indirectly acquired the Canadian book publishing companies when it purchased Holt Rinehart and Winston from CBS Inc & lt ; CBS > last October ."
922,"TALKING POINT / BURLINGTON INDUSTRIES & lt ; BUR > The largest U . S . textile maker focused on its own business as its competitors found merger partners , but now Burlington Industries Inc may have restructured itself into an attractive takeover candidate , analysts said ."
923,"The takeover spotlight fell today on Burlington , which rose 4 - 7 / 8 to 52 - 7 / 8 on speculation that investor Asher Edelman and Dominion Textiles Inc of Canada bought an almost five pct stake ."
924,A published report said Edelman and Dominion jointly acquired a stake in Burlington and were weighing a takeover offer .
925,"Edelman would not comment , and a spokesman for Montreal - based Dominion called the report just "" rumors ."""
926,Burlington said it did not know if the report was true .
927,Wall Street professionals said they were not convinced of the story or that Edelman and Dominion would be the victors if Burlington actually came into play .
928,"Arbitragers said past comments from Dominion , however , added credence to the speculation ."
929,"Dominion has said that it was looking for a takeover in the U . S . Last year , Dominion unsuccessfully bid for Avondale Mills and has maintained a 120 mln dlr line of credit to be used for a U . S . acquisition ."
930,"A Dominion spokesman said Canada ' s largest textile producer has been negotiating with "" many "" U . S . textile companies , but would not say whether Burlington was among them ."
931,""" There have been acquisitions in this area ."
932,"It ' s not unusual that someone could be looking at Burlington after the housecleaning they ' ve done ,"" said Eileen Gormley of Thomson McKinnon ."
933,"Burlington sold its domestic operations , which made sheets and other linens , to J . P . Stevens and Co Inc for 110 mln dlrs last year ."
934,"It also has reorganized management , and focused its operations on businesses that would be less affected by foreign competition , Gormley said ."
935,""" They ' ve pulled back so as not to be a commodity marketer ,"" said Gormley ."
936,"She said in moving more heavily into industrial fabrics , Burlington bought C . H ."
937,"Masland , which supplies carpets and other fabric to the auto industry ."
938,""" In the past , they just spent and never realized the return on the outlays they did make ,"" she said ."
939,""" You look at their record over the year , and I think they ' re poised to be more profitable than they had been in the past ,"" Gormley said ."
940,"She estimated 1987 earnings of 2 . 50 dlrs per share , up from 2 . 01 dlrs per share ."
941,Some analysts today recommended clients not buy Burlington at its current levels .
942,Edward Johnson of Johnson Redbook said he recommends selling .
943,He said he believes the stock is worth only about 50 dlrs on a takeover basis and about 46 dlrs on an earnings basis .
944,"Some arbitragers , however , said takeover values have been placed on the company of 60 to 65 dlrs per share ."
945,""" After Asher ' s ( Edelman ) recent history , a lot of people don ' t find him very credible anymore ,"" said one arbitrager ."
946,"Another , however , said Edelman succeeds in forcing managements to take steps to enhance shareholder values even if he doesn ' t win the target company ."
947,Edelman was unsuccessful last year in offers for Lucky Stores Inc and Fruehauf Corp .
948,He did succeed in buying Ponderosa Inc .
949,The stocks of other textile makers rose along with Burlington .
950,"J . P . Stevens & lt ; STN > climbed 5 / 8 to 44 - 7 / 8 , and Fieldcrest Cannon Inc & lt ; FLD >, the result of a merger of Fieldcrest and Cannon , rose 1 - 1 / 8 to 39 - 3 / 4 ."
951,West Point - Pepperell Inc & lt ; WPM > rose 1 - 7 / 8 to 67 - 1 / 8 .
952,"STERIVET LABORATORIES LTD & lt ; STVTF > 1ST QTR NET Shr profit 10 cts vs loss 17 cts Net profit 206 , 000 vs loss 281 , 000 Revs 1 , 022 , 00 vs 344 , 000"
953,"STERIVET LABORATORIES LTD & lt ; STVTF > YEAR LOSS Shr loss 48 cts vs loss 19 cts Net loss 746 , 000 vs loss 342 , 000 Revs 3 , 213 , 000 vs 2 , 925 , 000"
954,JAPAN IN LAST - DITCH EFFORT TO AVERT TARIFFS Senior Japanese officials tomorrow open talks with American trade negotiators in a last - ditch effort to avert new high U . S . tariffs to be imposed on a wide variety of Japanese electronic exports .
955,"Makoto Kuroda , vice minister of Japan ' s Ministry of International Trade and Industry ( MITI ), is to hold two days of meetings with the Deputy U . S . Trade Representative , Michael Smith , and the Under Secretary of Commerce , Bruce Smart ."
956,"The new tariffs , to go into effect on April 17 , are in retaliation for Japan ' s failure to adhere to an agreement to end dumping semiconductors in world markets at below cost and to open its home market to U . S . semiconductor shipments ."
957,"They are to be imposed on goods which use semiconductors , including television and audio equipment and computers ."
958,Both U . S . and Japanese officials have said there was little likelihood the talks would do anything to avert the 100 pct duties on 300 mln dlrs worth of Japanese shipments .
959,President Reagan announced the planned tariffs on March 27 after he said that close monitoring of the July 1986 U . S .- Japanese semiconductor pact convinced U . S . officials that Japan was not honoring the agreement .
960,"In making the annoucement , Reagan said "" I am committed to the full enforcement of our trade agreements designed to provide American industry with free and fair trade ."""
961,"Trade analysts said his move was aimed as much at Japan ' s semiconductor trade practices , which are said to have injured the U . S . semiconductor industry , as Congress , which has complained about presidential timidity on trade issues ."
962,"Congressional Democrats have pledged to enact aggressive trade laws to counter what they contend has been Reagan ' s inaction to redress the growing U . S . trade deficit , which last year reached 169 . 8 billion dlrs ."
963,About one - third of the deficit was with Japan .
964,Reagan said there were recent signs Japan was beginning to adhere to the pact and that was why he was not terminating it .
965,Kuroda said on leaving Tokyo today he had no new proposals but did have an explanation of the semiconductor situation .
966,He told the daily newspaper Ashai Shimbun that Reagan ' s decision was based on inaccurate data and an exaggerated sense of MITI ' s power to control Japanese traders .
967,""" The United States has excessive expectations .,"" he said ."
968,"To stabilize supply - demand relations which have been disrupted by excess inventories since 1985 will take some time ."""
969,He also said that U . S . firms had not been aggressive enough in trying to sell in the Japanese market .
970,HOECHST CELANESE SENDS REPORT ON NEW FACILITIES & lt ; Hoechst Celanese Corp > said it sent propsective customers a confidential report describing its polyester textile fiber facilities in North Carolina and South Carolina .
971,The company did not disclose any prices .
972,"The report describes the facilities in Darlington County , S . C ., and Fayetteville , N . C ., the company said ."
973,"The report also decribes related manufacturing , marketing , administrative and technical resources that could be made avialable to a buyer ."
974,Hoechst Celanese was formed Feb 27 by the merger of Celanese Corp and American Hoechst Corp .
975,"The merger took place after an agreement was reached with the Federal Trade Commission that certain domestic polyester textile fiber assets of the combined companies would be divested , it said ."
976,Hoechst Celanese said it has the option of divesting either the South Carolina facilities of the former American Hoechst or a package of polyester textile fiber facilities of the former Celanese .
977,MELLON PARTICIPATING MORTGAGE TRUST & lt ; MPMTS > DIV Qtly div 25 cts vs 25 cts prior Payable May 6 Record April 24
978,"U . K . GEC DECLINES COMMENT ON U . S . PURCHASE RUMOUR General Electric Co Plc & lt ; GECL . L > ( GEC ) declined comment on rumours on the London stock market that it is planning another purchase in the U . S . Medical equipment field , in addition to its existing U . S . Subsidiary & lt ; Picker International Inc >."
979,A GEC spokesman said that it is company policy not to comment on acquisition rumours .
980,"Stock Exchange traders said the rumour helped GEC ' s share price to rise 5p , to a final 206p from yesterday ' s closing price of 201p ."
981,"PRESTON CORP & lt ; PTRK > SEES FIRST QUARTER LOSS Preston corp said it expects to report a loss of about 300 , 000 dlrs or five cts per share for the first quarter , compared with a profit of 1 , 081 , 000 dlrs or 19 cts per share a year before ."
982,"The trucking company attributed the loss to the continued rate of discounted in its primary markets , flat revenues and increased costs , including uninsured claims expense resulting from adverse weather conditions during the last three months ."
983,"It said results outside the Northeast were strong , and it expects to show improved results for the rest of the year ."
984,"WHITE HOUSE STANDING FIRM ON JAPANESE SANCTIONS Presidential spokesman Marlin Fitzwater said U . S . trade sanctions against Japan were likely take effect on April 17 in spite of a "" full court press "" by Japanese officials to avoid them ."
985,""" All indications are they will take effect ,"" he said ."
986,""" I would say Japan is applying the full court press ..."
987,"They certainly are putting both feet forward in terms of explaining their position ,"" Fitzwater told reporters ."
988,"He noted high level meetings on the trade dispute are underway here but said , "" I don ' t think there ' s anything I can report and I don ' t believe there ' s been any official movement ."""
989,DOW JONES AND CO INC FIRST QUARTER SHR 69 CTS VS 64 CTS
990,DOW JONES AND CO INC FIRST QUARTER SHR 69 CTS VS 64 CTS
991,"& lt ; HAYES - DANA INC > 1ST QTR NET Shr 30 cts vs 28 cts Net 5 , 000 , 000 vs 4 , 600 , 000 Revs 125 . 2 mln vs 123 . 9 mln Note : 52 pct - owned by Dana Corp & lt ; DCN >."
992,"COCOA TERMINAL DEPOSITS TO BE CUT 25 PCT - ICCH The basic deposit on cocoa futures contracts will be reduced by 25 pct as from Friday , April 10 , taking the required deposit for one 10 tonne lot to 300 stg from 400 previously , a spokesman for the International Commodity Clearing House ( ICCH ) said ."
993,"The deposit for spread contracts will be similarly cut , to 150 stg for a one 10 tonne lot from 200 previously , he said ."
994,"The ICCH had been looking at cocoa market fluctuations over a period of weeks , he said , adding the market ' s basic stability had warranted a cut in deposit rates ."
995,"The decision to cut deposits was taken by the ICCH after consultation with the London Cocoa Terminal Market , the spokesman said ."
996,"The cuts were likely to attract more business to the market , he said ."
997,"ELECTRO RENT CORP & lt ; ELRC > 3RD QTR FEB 28 NET Shr 20 cts vs 32 cts Net 1 , 358 , 000 vs 2 , 476 , 000 Revs 27 . 1 mln vs 26 . 2 mln Nine Mths Shr 68 cts vs 1 . 05 dlrs Net 4 , 957 , 000 vs 8 , 129 , 000 Revs 82 . 6 mln vs 78 . 8 mln"
998,WALGREEN CO 2ND QTR SHR 62 CTS VS 58 CTS
999,WALGREEN CO 2ND QTR SHR 62 CTS VS 58 CTS
1000,"JUDY ' S INC & lt ; JUDY > 4TH QTR JAN 31 LOSS Shr loss two cts vs profit nine cts Net loss 74 , 000 vs profit 418 , 000 Sales 18 . 2 mln vs 17 . 5 mln Year Shr profit nine cts vs profit 26 cts Net profit 426 , 000 vs profit 1 , 170 , 000 Sales 58 . 7 mln vs 56 . 7 mln"
1001,"ORANGE - CO INC & lt ; OJ > 2ND QTR FEB 28 NET Shr profit 2 . 26 dlrs vs loss 81 cts Net profit 9 , 785 , 000 vs loss 3 , 422 , 000 Revs 26 . 0 mln vs 18 . 9 mln Avg shrs 4 , 316 , 000 vs 4 , 207 , 000 1st half Shr profit 2 . 75 dlrs vs loss 1 . 07 dlrs Net profit 11 . 9 mln vs loss 4 , 486 , 000 Revs 39 . 0 mln vs 37 . 2 mln Avg shrs 4 , 318 , 000 vs 4 , 181 , 000 NOTE : Current year net both periods includes gain 9 , 500 , 000 dlrs from sale of Orange - Co of Florida subsidiary to American Agrnomics Corp & lt ; AGR >."
1002,"Net includes pretax real estate disposition loss 920 , 000 dlrs vs gain 52 , 000 dlrs in quarter and loss 863 , 000 dlrs vs gain 117 , 000 dlrs in half ."
1003,"Prior year net includes tax credits of 2 , 132 , 000 dlrs in quarter and 3 , 039 , 000 dlres in half ."
1004,"Current half net includes 2 , 051 , 000 dlr pretax gain 2 , 051 , 000 dlrs from change in accounting ."
1005,"DOW JONES AND CO INC & lt ; DJ > 1ST QTR NET Shr 69 cts vs 64 cts Net 66 , 719 , 000 vs 61 , 773 , 000 Rev 285 . 6 mln vs 259 . 7 mln NOTE : Earnings include after - tax gain of 29 . 4 mln dlrs , or 30 cts a share , versus after - tax gain of 31 . 4 mln dlrs , or 32 cts a share , for 1986 first quarter ."
1006,"Earnings per share reflects a 50 pct stock dividend in the form of a class B common stock distribution on June 30 , 1986 ."
1007,LORD ABBETT AND CO MUTUAL FUND DIVIDENDS LORD ABBETT BOND DEBENTURE FUND Qtly div 28 cts vs 29 cts prior Pay May 5 Record April 9 --- LORD ABBETT U . S . GOVERNMENT SECURITIES FUND Daily div 2 . 9 cts vs 2 . 9 cts prior Pay May 15 Record May 15 LORD ABBETT TAX FREE INCOME FUND NATIONAL SERIES Daily div 6 . 7 cts vs 6 . 7 cts prior Pay May 15 Record May 15 --- LORD ABBETT TAX FREE INCOME NEW YORK SERIES Daily div 6 . 7 cts vs 6 . 7 cts prior Pay May 15 Record May 15 LORD ABBETT TAX FREE INCOME TEXAS SERIES Daily div 5 . 9 cts vs 5 . 9 cts prior Pay May 15 Record May 15 --- LORD ABBETT CALIFORNIA TAX FREE INCOME Daily div of 6 . 2 cts vs 6 . 2 cts prior Pay May 15 Record May 15
1008,"HEINEKEN SEES HIGHER PROFITS , WIDER PENETRATION Dutch brewer Heineken NV said it hoped to maintain for a number of years a similar earnings growth to the 7 . 5 pct increase in net profit achieved in 1986 , despite continuing investments in a reorganization program and efforts to extend world penetration ."
1009,"Heineken last month reported a 1986 net profit of 285 mln guilders , after 265 mln in 1985 ."
1010,"Chairman Freddie Heineken said the company , Europe ' s leading beer producer with six pct of market share in 1986 , said sales increased by 6 . 3 pct to 42 . 1 mln hectoliters ."
1011,"The volume increase was due mainly to a rise in the U . S ., Where the brand Amstel Lite saw great demand , and in Europe , where sales accounted for 25 . 5 pct of the total ."
1012,"Turnover , despite losses in guilder terms due to weaker foreign currencies , rose by 4 . 4 pct , to 6 . 7 billion guilders ."
1013,"Further consolidation of foreign companies , including the increase of its stake in leading Spanish brewery & lt ; El Aguila S . A .> to 51 . 2 pct , new ventures and modernization , particularly in French and Spanish interests , eroded profit margins ."
1014,"The company still planned to invest 700 mln guilders this year in restructuring and marketing , Heineken said ."
1015,"Heineken ' s Spanish activities should start yielding profit next year , Heineken said , adding that its French operations had already turned to profit after vast rationalization last year ."
1016,Vice Chairman Gerard van Schaik said the decision by the European Court of Justice in Luxembourg to allow foreign beer into the closed West German market -- Europe ' s biggest beer market -- offered interesting possibilities for Heineken .
1017,""" We have the beer , but distribution and sales is the important point ,"" van Schaik said , adding that since the ruling Heineken had been inundated by German traders seeking joint ventures ."
1018,""" The question is not if we want to penetrate the German market , but how we are to do it ,"" van Schaik said , adding that while the widely traveled Germans seemed to be developing a taste for foreign beer , the internal structure was very regionalized ."
1019,"Heineken board member Hans Coebergh , responsible for African operations , said he saw Africa as one of the most important beer growth markets in the long term ."
1020,"He said the company , present in Africa since 1932 and with majority stakes in six breweries and interests in 25 , was hampered by the lack of hard currencies there ."
1021,"Africa , where beer consumption averages only nine liters per head per year and sales are limited by import restrictions and currency risks , nonetheless accounted for 6 . 5 pct of total 1986 sales ."
1022,On - site production is rendered expensive by the high price of imports of essential ingredients .
1023,But Heineken scientists have been looking at other possibilities .
1024,"To balance the costs of imported malt , Heinken launched on the Nigerian market a new beer made of 50 pct sorghum , which had sold successfully , Coebergh said ."
1025,"Heineken is urging farmers to grow the traditional raw materials , but Coebergh noted that banana and palm beer were popular in Rwanda ."
1026,""" This is a possibility , but we could not possibly achieve the Heineken flavor ,"" Coebergh said ."
1027,Chairman Heineken said the company ' s seven year efforts to penetrate the Soviet market had finally resulted this week in a contract that relaxed some of the restrictions they faced .
1028,"But again , a lack of hard currencies limited Heineken ' s market potential ."
1029,"Heineken now has seven bars in Moscow that are enjoying good sales , but the bars only accept western money ."
1030,WALGREEN CO & lt ; WAG > VOTES QUARTERLY DIVIDEND Qtly div 13 - 1 / 2 cts vs 12 - 1 / 2 cts prior qtr Pay 12 June Record 21 May
1031,COLOMBIA BUSINESS ASKED TO DIVERSIFY FROM COFFEE A Colombia government trade official has urged the business community to aggressively diversify its activities and stop relying so heavily on coffee .
1032,"Samuel Alberto Yohai , director of the Foreign Trade Institute , INCOMEX , said private businessmen should not become what he called "" mental hostages "" to coffee , traditionally Colombia ' s major export ."
1033,"The National Planning Department forecast that in 1987 coffee will account for only one - third of total exports , or about 1 . 5 billion dlrs , with oil and energy products making up another third and non - traditional exports the remainder ."
1034,"TURKEY CALLS FOR DIALOGUE TO SOLVE DISPUTE Turkey said today its disputes with Greece , including rights on the continental shelf in the Aegean Sea , should be solved through negotiations ."
1035,"A Foreign Ministry statement said the latest crisis between the two NATO members stemmed from the continental shelf dispute and an agreement on this issue would effect the security , economy and other rights of both countries ."
1036,""" As the issue is basicly political , a solution can only be found by bilateral negotiations ,"" the statement said ."
1037,Greece has repeatedly said the issue was legal and could be solved at the International Court of Justice .
1038,The two countries approached armed confrontation last month after Greece announced it planned oil exploration work in the Aegean and Turkey said it would also search for oil .
1039,A face - off was averted when Turkey confined its research to territorrial waters .
1040,""" The latest crises created an historic opportunity to solve the disputes between the two countries ,"" the Foreign Ministry statement said ."
1041,"Turkey ' s ambassador in Athens , Nazmi Akiman , was due to meet Prime Minister Andreas Papandreou today for the Greek reply to a message sent last week by Turkish Prime Minister Turgut Ozal ."
1042,The contents of the message were not disclosed .
1043,"FRONTIER INSURANCE & lt ; FRTR > IN ACQUISITION TALKS Frontier Insurance Group Inc said it is currently negotiating to acquire the business of Medical Quadrangle Inc , formerly its largest medical malpractice insurance producer , and the business of its other malpractice producer , Medical Professional Liability Agency Inc ."
1044,It gave no details .
1045,"FRONTIER INSURANCE GROUP INC & lt ; FRTR > 4TH QTR NET Oper shr 25 cts vs six cts Oper net 840 , 000 vs 139 , 000 Revs 8 , 290 , 000 vs 4 , 743 , 000 Avg shrs 3 , 335 , 029 vs 2 , 400 , 000 Year Oper shr 97 cts vs 53 cts Oper net 2 , 546 , 000 vs 1 , 275 , 000 Revs 28 . 8 mln vs 18 . 5 mln Avg shrs 2 , 635 , 665 vs 2 , 400 , 000 NOTE : Net excludes investment gain four cts shr vs loss six cts in quarter and gain five cts vs loss six cts in year ."
1046,GATT OFFICIAL MEETS WITH U . S . FARM LEADERS The official in charge of agricultural matters in the new round of global trade talks is in Washington today and tomorrow to meet with congressional and Reagan administration officials .
1047,"Aart de Zeeuw , chairman of the General Agreement on Tariffs and Trade ' s negotiating group on agriculture , met this morning with members of the House Agriculture Committee ."
1048,Committee sources said De Zeeuw expressed concern over protectionism and high farm price supports .
1049,"House lawmakers noted that in 1985 the United States took steps to reduce loan rates , committee staff said ."
1050,""" Members told him ( De Zeeuw ) that we lowered our ( U . S .) loan rates and can ' t eliminate subsidies unilaterally ,"" one source said ."
1051,"De Zeeuw was told of the U . S . lawmakers ' frustration with Japan ' s restrictive rice import policy , and members defended the U . S . dairy policy , which aims to cut surplus production by subsidizing producers to trim herds , sources said ."
1052,Later today De Zeeuw will meet the Senate Agriculture members and Undersecretary of State Affairs Allen Wallis .
1053,"Tomorrow , De Zeeuw is to meet the House Ways and Means Trade Subcommittee and the Senate Finance Committee , before visiting Agriculture Secretary Richard Lyng ."
1054,De Zeeuw goes to Canada later this week .
1055,His trip to North America is part of his attempt to meet farm policy leaders in the key GATT member states .
1056,The negotiating group on agriculture held its first meeting in February and is expected to meet again in May .
1057,"SOUTHINGTON SAVINGS BANK & lt ; SSBB > 1ST QTR NET Shr 39 cts vs not given Net 707 , 000 vs 505 , 000 NOTE : Company went public in July 1986 ."
1058,CATERPILLAR INC & lt ; CAT > VOTES QUARTERLY DIVIDEND Qtly div 12 - 1 / 2 cts vs 12 - 1 / 2 cts prior qtr Pay 20 May Record 20 April
1059,"CORRECTED - DATRON & lt ; DATR > AGREES TO BUYOUT Datron Corp said it agreed to merge with GGHF Inc , a Florida - based company formed by the four top officers of the company ."
1060,"According to terms of the proposed transaction , each share of Datron common stock , excluding those shares owned by the four officers , will be converted into six dlrs a share , it said ."
1061,"Datron ' s officers hold about 73 pct of the total 896 , 000 Datron common shares outstanding , it said ."
1062,"( corrects company name , GGHF , in first paragraph )"
1063,"WALGREEN CO & lt ; WAG > 2ND QTR FEB 28 NET Shr 62 cts vs 58 cts Qtly div 13 - 1 / 2 cts vs 13 - 1 / 2 cts prior Net 38 . 8 mln vs 35 . 7 mln Revs 1 . 18 billion vs one billion Six mths Shr 84 cts vs 86 cts Net 52 mln vs 52 . 9 mln Revs 2 . 14 billion vs 1 . 82 billion NOTE : Results include charge of four cts shr for latest six mths vs credit of five cts shr for prior six mths from investment tax credit Dividend payable June 12 , record May 21"
1064,"J . P . MORGAN & lt ; JPM > SAYS DLR MAY PREVENT FED EASING The relatively high level of real U . S . interest rates suggests that there is scope for further declines in money market rates , but the Federal Reserve is unlikely to promote such a drop as long as the dollar remains volatile , said J . P . Morgan and Co Inc chairman Lewis Preston ."
1065,"He said in response to a reporter ' s question after the bank ' s annual meeting that money market rates could decline further but , "" I don ' t think the Fed is going to encourage that as long as the exchange markets are as volatile as they are ."""
1066,"On the other hand , he said that , barring a collapse of the dollar , he did not see rates going much higher ."
1067,"He said that Morgan ' s recent rise in its prime lending rate was "" purely a reflection of an increase in a whole spectrum of rates ."""
1068,Preston reiterated earlier company forecasts that the U . S . economy should show roughly 2 . 5 to three pct real growth this year .
1069,"He also said that as a consequence of the dollar ' s decline and oil price rises , inflation would rise "" moderately "" to a 3 . 5 to four pct rate in 1987 ."
1070,"MEDTRONIC & lt ; MDT > SEES 15 PCT EARNINGS GROWTH Medtronic Inc said it sees 15 pct growth in sales and earnings for the year ending April 30 , 1988 ."
1071,"At an analysts meeting here the company said that for the year ending April 30 , 1987 it will earn about 73 mln dlrs , or about 5 . 15 - 5 . 35 dlrs a share on sales of about 500 mln dlrs ."
1072,"In the year ago period , the company earned 53 . 4 mln dlrs , or 3 . 65 dlrs a share , on sales of 402 . 8 mln dlrs ."
1073,"Winston Wallin , Medtronic chairman , said the company will improve market share in fiscal 1988 in cardiac pacemakers and expand its cardiovascular therapeutic product line ."
1074,Wallin cautioned analysts not to quickly change their per share estimates for the company as he said Medtronic will have heavy sales and marketing expenses in fiscal 1988 .
1075,He said the company intends to reinvest its earnings in its businesses and not in its dividends .
1076,""" Shareholders are better off if we grow the business rather than reinvest in dividends or share repurchases ,"" he said ."
1077,"Wallin said he sees Medtronic ' s share of the total worldwide pacemaker market increasing to 42 pct in fiscal 1988 , from 40 pct in fiscal 1987 ."
1078,"He said the worldwide market for cardiovascualr therapeutic products , which includes pacemakers , valves , catheters and lasers , will be valued at about 2 . 5 billion dlrs 1990 and will double that by 1995 ."
1079,"Wallin said , "" Our objective is to get a hold of new products and start building market share if we have to beg , borrow or steal to get into new markets ."""
1080,"In the past , Medtronic ' s pacemakers have been plagued with a number of problems leading to product recalls ."
1081,"Regulators also have criticized the industry , citing quality problems and a needless overprescription of pacemakers ."
1082,""" We have no knowledge of any major problems in our pacemakers or leads ,"" Wallin said ."
1083,""" We intend to re - establish our company as the quality leader in the industry ."""
1084,"Glen Nelson , executive vice president for Medtronics , said the company intends to diversify internally and through acquisitions of companies in areas of Medtronic ' s expertise , such as drug delivery systems ."
1085,Wallin said the 15 pct earnings growth for fiscal 1988 does not include dilutions from acquisitions .
1086,""" We hope to have some safety provisions so that we won ' t have any major dilutions from an acquisition ."""
1087,Wallin also said the company will have virtual exclusivity in rate responsive pacemakers for all of fiscal 1988 .
1088,"The company markets Activitrax , the first single chamber pacemaker that varies heartrate in response to physical activity ."
1089,"Siemens AG , a West German company , is also developing a rate responsive pacemaker ."
1090,SPIE BATIGNOLLES COULD INCREASE COMSTOCK HOLDING Construction group & lt ; Spie Batignolles > is negotiating to increase its holding in U . S . Engineering and electrical installations firm & lt ; Comstock >.
1091,"Spie Batignolles , a subsidiary of Schneider SA & lt ; SCHN . PA >, said in a statement it was negotiating to invest 20 mln dlrs in Comstock in the form of bonds convertible into shares ."
1092,Spie Batignolles has held a 20 pct stake in Comstock since February 1986 .
1093,"A spokesman said if Spie Batignolles converted all the new bonds , it could open the way for the French company to take control of Comstock but he gave no other details ."
1094,TALKS CONTINUE ON TIN AGREEMENT EXTENSION Discussions on the possible extension of the sixth International Tin Agreement ( ITA ) began at the quarterly session of the International Tin Council ( ITC ) but the Council is still waiting for decisions from various member states .
1095,"A number of producer governments in particular have not decided their final position on whether the ITA should be extended for up to two years or wound down after it expires on June 30 , according to delegate sources ."
1096,"Earlier today European Community ( EC ) members decided to back an extension , with the exception of Britain , which undertook to communicate its decision to its EC partners later ."
1097,Delegates said it could be Friday before all the member countries declare their positions on the possible extension .
1098,Today ' s full Council session started shortly before 1500 GMT after the scheduled 1330 start was delayed by an EC coordination meeting .
1099,"The council reconvenes at 0930 GMT tomorrow , although delegates said the morning is likely to be taken up with minor technical matters and the main issue will probably not be discussed before the afternoon session ."
1100,"PAKISTAN COTTON CROP SEEN RECORD 7 . 6 MLN BALES Pakistan is likely to produce a record 7 . 6 mln bales ( 375 lbs each ) of cotton from the current 1986 / 87 crop , exceeding a target of 7 . 2 mln bales , Food and Agriculture Minister Mohammad Ibrahim Baluch said ."
1101,"He told a Pakistan Central Cotton Committee meeting here the present was the third consecutive poroduction record - setting year and said the momentum would be accelerated in the future , the official APP news agency reported ."
1102,"Baluch said indications were that Pakistan is to attain a record cotton production of 7 . 6 mln bales , compared to the 1985 / 86 crop of 7 . 2 mln bales which also represented the target earlier set by authorities for this year ' s production ."
1103,"TRANZONIC COS & lt ; TNZ > 4TH QTR FEB 28 NET Shr 54 cts vs 24 cts Net 633 , 300 vs 300 , 859 Sales 15 . 2 mln vs 13 . 0 mln Avg shrs 1 , 165 , 047 vs 1 , 224 , 982 Year Shr two dlrs vs 1 . 64 dlrs Net 2 , 379 , 400 vs 2 , 011 , 924 Sales 58 . 6 mln vs 54 . 0 mln Avg shrs 1 , 187 , 828 vs 1 , 223 , 511"
1104,SECURITY PACIFIC EXPECTS BRAZIL LOAN ACTION TO CUT NET BY 7 . 2 MLN DLRS
1105,SECURITY PACIFIC EXPECTS BRAZIL LOAN ACTION TO CUT NET BY 7 . 2 MLN DLRS
1106,"WHITE HOUSE SAYS JAPANESE TARRIFFS LIKELY The White House said high U . S . Tariffs on Japanese electronic goods would likely be imposed as scheduled on April 17 , despite an all - out effort by Japan to avoid them ."
1107,Presidential spokesman Marlin Fitzwater made the remark one day before U . S . And Japanese officials are to meet under the emergency provisions of a July 1986 semiconductor pact to discuss trade and the punitive tariffs .
1108,"Fitzwater said : "" I would say Japan is applying the full - court press ... They certainly are putting both feet forward in terms of explaining their position ."""
